Erdkunde;Wie wird das windstille Zentrum eines Wirbelsturms genannt?;Auge;Herz;Hirn;Koerper
Erdkunde;Wie nennt man die starken Regenfaelle, die zu bestimmten Jahreszeiten in Asien niedergehen?;Monsun;Taikun;Orkan;Zyklon
Erdkunde;Was ist ein Mittelgebirge?;ein Gebirge von mittlerer Hoehe;die Mitte eines Gebirges;ein Gebirge in der Mitte eines Landes;ein Gebirge zwischen zwei Gebirgen
Erdkunde;Welche Kuestenform gibt es nicht?;Geestkueste;Schaerenkueste;Boddenkueste;Foerdenkueste
Erdkunde;Welcher der folgenden Begriffe bezeichnet keinen Wind?;Tsunami;Bora;Mistral;Schirokko
Erdkunde;In welcher Zeitzone liegt Saudi-Arabien?;MEZ + 2 Stunden;MEZ + 3 Stunden;GMT + 1 Stunde;GMT + 4 Stunden
Erdkunde;Wer schuf die ersten modernen Landkarten?;Mercator;Beheim;Mercalli;Marconi
Erdkunde;Breite Flussmuendungen mit vielen Flussarmen nennt man ...?;Delta;Alpha;Beta;Gamma
Geschichte;Wer war während des zweiten Weltkrieges US-Praesident?;Franklin D. Roosevelt;Richard Nixon;John F. Kennedy;Ronald Reagan
Geschichte;Welches Giftgas wurde während des 2. Weltkrieges durch die Alliierten gegen Staedte in Japan eingesetzt?;Napalm;Agent Orange;Sulphurdioxid;Senfgas
Geschichte;Welche deutsche Stadt wurde im zweiten Weltkrieg als Erste von den Amerikanern eingenommen?;Aachen;Kaiserslautern;Mannheim;Koblenz
Geschichte;Byzanz und Konstantinopel sind alle Namen für?;Istanbul;Bagdad;Damaskus;Athen
Geschichte;In welchem Jahr gruendeten Uri, Schwyz und Unterwalden die Eidgenossenschaft?;1291;1266;1298;1307
Geschichte;Welche Stadt wurde nach Ende des 2.Weltkrieges von Rosinenbombern versorgt?;Westberlin;Frankfurt;Muenchen;Hamburg
Sport;Wie viele Punkte ergibt der erste gewonnene Ballwechsel beim Tennis?;15;1;5;10
Sport;In welcher Sportart kann man einen Satz mit 25:21 gewinnen?;Volleyball;Tischtennis;Badminton;Prellball
Sport;Welche alte ostasiatische Kampfsportart perfektionierte Bruce Lee?;Kung Fu;Makramee;Ikebana;Manga
Sport;In welcher Sportart muessen die Tore laut Regeln 7,32 Meter breit sein?;Fußball;Handball;Wasserball;Feldhockey
Sport;Welche Stadt in Baden-Wuerttemberg ist vor allem bei Leichtathletik-Freunden bekannt?;Kornwestheim;Biersuedheim;Weinostheim;Sektnordheim
Sport;Was machen die Sportler beim Triathlon nicht?;reiten;schwimmen;Rad fahren;laufen
Sport;Welche Sportart betreibt Hilde Gerg?;Skifahren;Radsport;Schwimmen;Tennis
Sport;Wie lang dauert ein regulaeres Handball - Spiel?;2 x 30 Minuten;2 x 45 Minuten;2 x 20 Minuten;2 x 35 Minuten
Sport;Was fuer eine Sportart wird in dem Wappen von SpVgg Unterhaching außer Fußball noch dargestellt?;Bobsport;Bogenschießen;Handball;Skispringen
Sport;Welcher deutsche Leichtathlet war 2000 in einen Dopingskandal verwickelt?;Dieter Baumann;Frank Busemann;Heinz Weiß;Lars Riedel
Nat.-wissenschaften;Auf welchem Prinzip basiert die chinesische Astrologie?;auf dem Sonne-Mond Zyklus;auf keinem;auf den Mondphasen;auf dem Jahresablauf
Nat.-wissenschaften;Wann wurde der Nobelpreis erstmals an einen Deutschen verliehen?;1901;1908;1912;1883
Nat.-wissenschaften;Wo findet man das Keilbein?;am Schaedel;am Oberschenkelknochen;am Brustbein;an der Handwurzel
Nat.-wissenschaften;Welches dieser Lebewesen ist das stammesgeschichtlich aelteste?;Blaualge;Rotalge;Gruenalge;Kieselalge
Nat.-wissenschaften;Woraus wird Lanolin gewonnen?;Wolle;Walfett;Robbenoel;Katzendarm
Nat.-wissenschaften;Warum ist die Banane krumm?;wegen des Geotropismus;wegen der Anamorphose;wegen des Bioflorismus;wegen der Parazentese
Nat.-wissenschaften;Nach wem wurde die erste staendig besetzte Antarktisstation der Bundesrepublik Deutschland benannt?;von Neumayer;von Humboldt;Senckenberg;Amundsen
Nat.-wissenschaften;In welchem dieser Erdzeitalter lebten die Trilobiten?;Silur;Devon;Karbon;Perm
Nat.-wissenschaften;Was ist ein britisches Stone?;ca. 7 Kilogramm;ca. 4 Liter;ca. 6 Meter;ca. 1 Stunde
Nat.-wissenschaften;Welchen Planeten bezeichnet man auch als Abendstern?;Venus;Jupiter;Mars;Pluto
Geographie;Welche Stadt ist die grösste der Welt?;Tokio;Mexiko-City;New York;Peking
Nat.-wissenschaften;Wie lange dauert ein Mondzyklus?;28 Tage;26 Tage;30 Tage;24 Tage
Nat.-wissenschaften;Wie lange benötigt Pluto um die Sonne?;248 Jahre;346 Jahre;131 Jahre;154 Jahre
Geschichte;Wie lange benötigte Charles Lindbergh für seine Atlantiküberquerung?;33h 30min;35h 40min;29h 10min;25h 15min
Geschichte;Wie heisst dieses Spiel?;Tequiz;Quiztris;Tetris;Schlaumeier
Nat.-wissenschaften;Wie schnell kann ein Gebard rennen?;bis 110km/h;bis 90km/h;bis 130km/h;bis 150km/h
Nat.-wissenschaften;Welches ist der höchste Berg des Kantons Bern?;Finsteraarhorn;Gurten;Mönch;Aletschhorn
Technik;Wobei wird kein Hanf eingesetzt?;Strassenbau;Autobau;Massageöle;Kleider
Technik;Welches ist die Formel für die Potentielle Energie?;E=m*g*h;E=m*a;E=m*c^2;E=v/t
Technik;Wie gross ist ein DIN A4 Blatt?;21cm x 29.7cm;19cm x 30cm;20cm x 28.5cm;22.1cm x 17.6cm
Küche;Wie wird die Rande in Deutschland genannt?;Rote Beete;Rote Rübe;Rote Kartoffel;Roter Kohl
Küche;Was gehört nicht in ein Fondue?;Salat;Knoblauch;Weisswein;Käse
Küche;Woraus ursprünglich Salami hergestellt?;Eselfleisch;Rindfleisch;Schweinefleisch;Hundefleisch
Technik;Was ist ein REM?;Raster Elektronen Mikroskop;Röntgen Einsatzmaschine;Reaktionseinheitsmarker;Rabarber Einheits Matsch
Erdkunde;Welches ist der höchste Berg gemessen vom Fuss?;Mauna Kea;Mt. Everest;K2;Kilimandscharo
Nat.-wissenschaften;Welches ist das schnellste Tier der Welt?;Wanderfalke;Gepard;Bartgeier;Schwalbe
